stimulus_number,stim_fn,question,answer_choice_1,answer_choice_2
138,2012-08-0003_138.jpg,question,yes,no
139,2012-08-0005_139.jpg,question,yes,no
140,2012-08-0006_140.jpg,question,yes,no
141,2012-08-0008_141.jpg,question,yes,no
142,2012-08-0010_142.jpg,question,yes,no
143,2012-08-0011_143.jpg,question,yes,no
144,2012-08-0014_144.jpg,question,yes,no
145,2012-08-0015_145.jpg,question,yes,no
146,2012-08-0016_146.jpg,question,yes,no
147,2012-08-0018_147.jpg,question,yes,no
148,2012-08-0019_148.jpg,question,yes,no
149,2012-08-0020_149.jpg,question,yes,no
150,2012-08-0023_150.jpg,question,yes,no
151,2012-08-0024_151.jpg,question,yes,no
152,2012-08-0026_152.jpg,question,yes,no
153,2012-08-0028_153.jpg,question,yes,no
154,2012-08-0029_154.jpg,question,yes,no
155,2012-08-0037_155.jpg,question,yes,no
156,2012-08-0039_156.jpg,question,yes,no
157,2012-08-0040_157.jpg,question,yes,no
158,2012-08-0044_158.jpg,question,yes,no
159,2012-08-0045_159.jpg,question,yes,no
160,2012-08-0047_160.jpg,question,yes,no
161,2012-08-0050_161.jpg,question,yes,no
162,2012-08-0051_162.jpg,question,yes,no
163,2012-08-0052_163.jpg,question,yes,no
164,2012-08-0053_164.jpg,question,yes,no
165,2012-08-0054_165.jpg,question,yes,no
166,2012-08-0056_166.jpg,question,yes,no
167,2012-08-0057_167.jpg,question,yes,no
168,2012-09-0007_168.jpg,question,yes,no
169,2012-09-0009_169.jpg,question,yes,no
170,2012-09-0010_170.jpg,question,yes,no
171,2012-09-0012_171.jpg,question,yes,no
172,2012-09-0013_172.jpg,question,yes,no
173,2012-09-0014_173.jpg,question,yes,no
174,2012-09-0015_174.jpg,question,yes,no
175,2012-09-0017_175.jpg,question,yes,no
176,2012-09-0018_176.jpg,question,yes,no
177,2012-09-0019_177.jpg,question,yes,no
178,2012-09-0020_178.jpg,question,yes,no
179,2012-09-0023_179.jpg,question,yes,no
180,2012-09-0026_180.jpg,question,yes,no
181,2012-09-0028_181.jpg,question,yes,no
182,2012-09-0029_182.jpg,question,yes,no
183,2012-09-0030_183.jpg,question,yes,no
184,2012-09-0033_184.jpg,question,yes,no
185,2012-09-0034_185.jpg,question,yes,no
186,2012-09-0035_186.jpg,question,yes,no
187,2012-09-0036_187.jpg,question,yes,no
188,2012-09-0037_188.jpg,question,yes,no
189,2012-09-0038_189.jpg,question,yes,no
190,2012-09-0042_190.jpg,question,yes,no
191,2012-09-0044_191.jpg,question,yes,no
192,2012-09-0047_192.jpg,question,yes,no
193,2012-09-0052_193.jpg,question,yes,no
194,2012-09-0054_194.jpg,question,yes,no
195,2012-09-0056_195.jpg,question,yes,no
196,2012-09-0057_196.jpg,question,yes,no
197,2012-09-0060_197.jpg,question,yes,no
198,2012-09-0061_198.jpg,question,yes,no
199,2012-09-0062_199.jpg,question,yes,no
200,2012-10-0000_200.jpg,question,yes,no
201,2012-10-0001_201.jpg,question,yes,no
202,2012-10-0007_202.jpg,question,yes,no
203,2012-10-0012_203.jpg,question,yes,no
204,2012-10-0013_204.jpg,question,yes,no
205,2012-10-0018_205.jpg,question,yes,no
206,2012-10-0019_206.jpg,question,yes,no
207,2012-10-0020_207.jpg,question,yes,no
208,2012-10-0022_208.jpg,question,yes,no
209,2012-10-0023_209.jpg,question,yes,no
210,2012-10-0024_210.jpg,question,yes,no
211,2012-10-0027_211.jpg,question,yes,no
212,2012-10-0033_212.jpg,question,yes,no
213,2012-10-0035_213.jpg,question,yes,no
214,2012-10-0042_214.jpg,question,yes,no
215,2012-10-0045_215.jpg,question,yes,no
216,2012-10-0046_216.jpg,question,yes,no
217,2012-10-0054_217.jpg,question,yes,no
218,2012-10-0056_218.jpg,question,yes,no
219,2012-10-0057_219.jpg,question,yes,no
220,2012-10-0059_220.jpg,question,yes,no
221,2012-10-0060_221.jpg,question,yes,no
222,2012-10-0061_222.jpg,question,yes,no
223,2012-10-0067_223.jpg,question,yes,no
224,2012-10-0069_224.jpg,question,yes,no
225,2012-10-0070_225.jpg,question,yes,no
226,2012-10-0071_226.jpg,question,yes,no
227,2012-10-0076_227.jpg,question,yes,no
228,2012-10-0077_228.jpg,question,yes,no
229,2012-10-0078_229.jpg,question,yes,no
230,2012-10-0079_230.jpg,question,yes,no
231,2012-11-0000_231.jpg,question,yes,no
232,2012-11-0002_232.jpg,question,yes,no
233,2012-11-0004_233.jpg,question,yes,no
234,2012-11-0007_234.jpg,question,yes,no
